order,fname,lname,username,rate,effectiveDate,type,title,contractorRate
1,Tywin,Lannister,tlannister@las.com,150,,FTE,Lord of Casterly Rock,0.3567
2,Cerse,Lannister,c_lannister@las.com,140,,FTE,Queen Regent,
3,Jaimie,Lannister,jlannister,130,,FTE,King Slayer,
4,Tyrion,Lannister,tlannister2@las.com,130,,FTE,Hand of the King,
5,Bronn,(Just Bronn),bronn,130,,FTE,Lord of Highgarden,
6,Joffery,Baratheon,jbaratheon,130,,FTE,King of the Andals,
7,Tommen,Baratheon,tbaratheon,130,,FTE,Lord of the Seven Kingdoms,
8,Olenna,Tyrell,OLENNA@YAHOO.COM,115,,Contractor,"VP, Floral Consultants",
9,Margaery,Tyrell,mtyrell,115,,Contractor,"VP, Floral Consultants",
10,Loras,Tyrell,roseknight,115,,Contractor,"VP, Floral Consultants",
11,Willas,Tyrell,wtyrell,115,,Contractor,"VP, Floral Consultants",
12,Alerie,Tyrell,aleriet,115,,Contractor,"VP, Floral Consultants",
13,Mace,Tyrell,macetyrell,115,,Contractor,"VP, Floral Consultants",
14,Ned,Stark,eddardstark,105,,Contractor,"VP, Stark Freezing",
15,Catelyn,Stark,catelynstark,105,,Contractor,"VP, Stark Freezing",
16,Robb,Stark,robbs,105,,Contractor,"VP, Stark Freezing",
17,Sansa,Stark,sansa,105,,Contractor,"VP, Stark Freezing",
18,Rickon,Stark,rickon,105,,Contractor,"VP, Stark Freezing",
19,Jon,Snow,jsnow2,105,,Contractor,"VP, Stark Freezing",
19,Jon,Snow,jsnow2,205,3/1/2024,Contractor,"VP, Stark Freezing",
20,Arya,Stark,arya,105,,Contractor,"VP, Stark Freezing",
21,Bran,Stark,threeeyedraven,105,,Contractor,"VP, Stark Freezing",
22,Lyanna,Stark,lyannas,105,,Contractor,"VP, Stark Freezing",
23,Aegon V,Targaryen,a@targtravel.com,95,,Contractor,"VP, Targaryen Travel",
24,Aerys II,Targaryen,a2@targtravel.com,95,,Contractor,"VP, Targaryen Travel",
25,Rhaegar,Targaryen,rhag@targtravel.com,95,,Contractor,"VP, Targaryen Travel",
26,Viserys,Targaryen,Viserys@targtravel.com,95,,Contractor,"VP, Targaryen Travel",
27,Daenerys,Targaryen,daenerys,95,,Contractor,"VP, Targaryen Travel",
28,Aegon,Targaryen,a3@targtravel.com,95,,Contractor,"VP, Targaryen Travel",
29,Balon,Greyjoy,balong,75,,Contractor,"VP, Greyjoy Shipping",
30,Theon,Greyjoy,theong,75,,Contractor,"VP, Greyjoy Shipping",
31,Euron,Greyjoy,eurong,75,,Contractor,"VP, Greyjoy Shipping",
32,Asha,Greyjoy,ashag,75,,Contractor,"VP, Greyjoy Shipping",
33,Petyr,Baelish,littlefinger,150,,Contractor,"Consultant, Servants of the Realm LLC",
34,Varys,of Whispers,varys,150,,Contractor,"Consultant, Servants of the Realm LLC",
35,Pycelle,The Old,PYCELLE@GEOCITIES.BIZ,150,,Contractor,"Consultant, Servants of the Realm LLC",
36,Qyburn,The Dark,qyburn,150,,Contractor,"Consultant, Servants of the Realm LLC",
37,Barristan,Selmy,SELMYBARRISTAN@AOL.COM,150,,Contractor,"Consultant, Servants of the Realm LLC",
38,Ilyn,Payne,silent_payne@gmail.com,150,,Contractor,"Consultant, Servants of the Realm LLC",
38,Ilyn,Payne,silent_payne@gmail.com,170,1/1/2024,Contractor,"Consultant, Servants of the Realm LLC",
39,Syrio,Forel,not_today@gmail.com,150,,Contractor,"Consultant, Servants of the Realm LLC",
