username,payroll_id,fname,lname,number,group,local_date,local_day,local_start_time,local_end_time,tz,hours,jobcode_1,jobcode_2,jobcode_3,jobcode_4,bchrp property address,billable,btl property address,class,location,lvbop property addresses,mi slba county,service item,tasks,location,notes,approved_status,has_flags,flag_types
not_today@gmail.com,,Syrio,Forel,0,SME/Contractor,3/1/2024,Fri,,,,2.75,,KL D-22,Kings Landing Delivery-2022-001 Admin,,,,,,,,,,,,Winter is coming,approved,,
theong,,Theon,Greyjoy,0,SME/Contractor,3/1/2024,Fri,,,,3,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 1,,,,,,,,,,,,approved,,
tlannister2@las.com,,Tyrion,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.75,,KL C-20,Kings Landing Construction-2020-006 Assembly,Task 2,,,,,,,,,,,,approved,,
tlannister2@las.com,,Tyrion,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.75,,KL R-22,Kings Landing Regency-2022-002 Coord,,,,,,,,,,,,,approved,,
tlannister2@las.com,,Tyrion,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,1,,KL D-22,Kings Landing Delivery-2022-003 Planning,Task 3,,,,,,,,,,,Winter is coming,approved,,
tlannister2@las.com,,Tyrion,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,1.25,,KL D-22,Kings Landing Delivery-2022-006 Distribution,Task 3,,,,,,,,,,,Winter is coming,approved,,
tlannister2@las.com,,Tyrion,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,2.25,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 4,,,,,,,,,,,Winter is coming,approved,,
eurong,,Euron,Greyjoy,0,SME/Contractor,3/1/2024,Fri,,,,1.75,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 3,,,,,,,,,,,Winter is coming,approved,,
arya,,Arya,Stark,0,SME/Contractor,3/1/2024,Fri,,,,1,,KL D-22,Kings Landing Delivery-2022-008 Payment,Task 2,,,,,,,,,,,Winter is coming,approved,,
c_lannister@las.com,,Cerse,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.25,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 1,,,,,,,,,,,Winter is coming,approved,,
c_lannister@las.com,,Cerse,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.25,,KL D-19,Kings Landing Delivery-2019-004 Allotment,Task 1,,,,,,,,,,,Winter is coming,approved,,
c_lannister@las.com,,Cerse,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.5,,KL D-22,Kings Landing Delivery-2022-004 Allotment,Task 4,,,,,,,,,,,Winter is coming,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.25,,KL D-19,Kings Landing Delivery-2019-004 Allotment,Task 2,,,,,,,,,,,Winter is coming,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.25,,KL D-19,Kings Landing Delivery-2019-004 Allotment,Task 1,,,,,,,,,,,Winter is coming,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.25,,KL D-22,Kings Landing Delivery-2022-007 Procurement,Task 1,,,,,,,,,,,Winter is coming,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.5,,KL D-22,Kings Landing Delivery-2022-003 Planning,Task 1,,,,,,,,,,,Winter is coming,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.5,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 1,,,,,,,,,,,,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.5,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 1,,,,,,,,,,,,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,0.75,,KL D-19,Kings Landing Delivery-2019-003 Planning,Task 3,,,,,,,,,,,,approved,,
jlannister,,Jaimie,Lannister,0,Lannister Advisery Services,3/1/2024,Fri,,,,1,,KL C-20,Kings Landing Construction-2020-006 Assembly,Task 2,,,,,,,,,,,,approved,,
